county,state,policy_type,start_date,stop_date
Marin,CA,Shelter in Place,3/17/20,5/31/20
Santa Clara,CA,Shelter in Place,3/17/20,5/31/20
San Mateo,CA,Shelter in Place,3/17/20,5/31/20
Sarpy,NE,Shelter in Place,3/18/20,4/30/20
Cass,NE,Shelter in Place,3/18/20,4/30/20
Solano,CA,Shelter in Place,3/18/20,4/30/20
Monterey,CA,Shelter in Place,3/18/20,5/4/20
San Benito,CA,Shelter in Place,3/18/20,5/3/20
San Miguel,CO,Shelter in Place,3/19/20,5/1/20
Blaine,ID,Shelter in Place,3/19/20,
Merced,CA,Shelter in Place,3/20/20,
Humboldt,CA,Shelter in Place,3/20/20,
Amador,CA,Shelter in Place,3/20/20,4/30/20
Inyo,CA,Shelter in Place,3/20/20,
Placer,CA,Shelter in Place,3/20/20,5/1/20
Los Angeles,CA,Shelter in Place,3/21/20,
Cook,IL,Outdoor and Recreation,3/21/20,5/30/20
Cook,IL,Entertainment,3/21/20,5/30/20
Cook,IL,Food and Drink,3/21/20,5/30/20
San Joaquin,CA,Shelter in Place,3/21/20,
Val Verde,TX,Shelter in Place,3/23/20,5/5/20
Bell,TX,Shelter in Place,3/23/20,4/20/20
Dallas,TX,Shelter in Place,3/23/20,5/15/20
Pitkin,CO,Shelter in Place,3/23/20,4/30/20
St. Louis,MO,Shelter in Place,3/23/20,4/22/20
St. Louis city,MO,Shelter in Place,3/23/20,4/22/20
Delaware,PA,Shelter in Place,3/23/20,4/30/20
Chester,PA,Shelter in Place,3/23/20,4/30/20
District of Columbia,DC,Shelter in Place,3/23/20,6/8/20
Platte,MO,Shelter in Place,3/24/20,4/23/20
Leavenworth,KS,Shelter in Place,3/24/20,4/23/20
Carroll,GA,Shelter in Place,3/24/20,4/12/20
Tarrant,TX,Shelter in Place,3/24/20,4/30/20
Knox,TN,Shelter in Place,3/24/20,4/7/20
Clay,NC,Shelter in Place,3/24/20,4/24/20
Shelby,TN,Shelter in Place,3/24/20,4/7/20
Liberty,TX,Shelter in Place,3/24/20,4/30/20
Johnson,KS,Shelter in Place,3/24/20,4/23/20
Brazos,TX,Shelter in Place,3/24/20,4/21/20
Douglas,KS,Shelter in Place,3/24/20,4/23/20
Cass,MO,Shelter in Place,3/24/20,4/24/20
Pickens,GA,Shelter in Place,3/24/20,4/7/20
Erie,PA,Shelter in Place,3/25/20,4/6/20
Lehigh,PA,Shelter in Place,3/25/20,4/30/20
Marion,IN,Shelter in Place,3/25/20,5/15/20
Floyd,GA,Shelter in Place,3/25/20,4/7/20
Haines Borough,AK,Shelter in Place,3/25/20,4/15/20
Robertson,TX,Shelter in Place,3/25/20,4/30/20
Sedgwick,KS,Shelter in Place,3/25/20,
Navarro,TX,Shelter in Place,3/25/20,4/30/20
Dodge,NE,Shelter in Place,3/25/20,5/6/20
Cameron,TX,Shelter in Place,3/25/20,8/20/20
Washington,NE,Shelter in Place,3/25/20,5/6/20
Ray,MO,Shelter in Place,3/25/20,4/24/20
Skagway Municipality,AK,Shelter in Place,3/25/20,4/8/20
Erath,TX,Shelter in Place,3/25/20,4/30/20
Miami,KS,Shelter in Place,3/25/20,4/23/20
Fort Bend,TX,Shelter in Place,3/25/20,4/30/20
Decatur,GA,Shelter in Place,3/25/20,4/7/20
Atchison,KS,Shelter in Place,3/25/20,4/25/20
Morris,KS,Shelter in Place,3/25/20,4/25/20
Burnet,TX,Shelter in Place,3/25/20,4/2/20
Shawnee,KS,Shelter in Place,3/26/20,
Willacy,TX,Shelter in Place,3/26/20,5/4/20
Jefferson,CO,Shelter in Place,3/26/20,3/26/20
Hidalgo,TX,Shelter in Place,3/26/20,4/30/20
Arapahoe,CO,Shelter in Place,3/26/20,3/26/20
Douglas,CO,Shelter in Place,3/26/20,3/26/20
Boulder,CO,Shelter in Place,3/26/20,3/26/20
Coffey,KS,Shelter in Place,3/26/20,
Nueces,TX,Shelter in Place,3/26/20,4/30/20
Webster,MO,Shelter in Place,3/26/20,4/24/20
Hardin,TX,Shelter in Place,3/27/20,5/1/20
Orange,NC,Shelter in Place,3/27/20,4/30/20
Guilford,NC,Shelter in Place,3/27/20,4/16/20
York,PA,Shelter in Place,3/27/20,4/30/20
Wayne,PA,Shelter in Place,3/27/20,4/30/20
