state,policy_type,start_date,stop_date
DE,Allow Audio Only Telehealth,1/1/20,
CA,State of Emergency,3/4/20,
MD,State of Emergency,3/5/20,
UT,State of Emergency,3/6/20,
KY,State of Emergency,3/6/20,
IN,State of Emergency,3/6/20,
IA,State of Emergency,3/9/20,
NJ,State of Emergency,3/9/20,
MA,State of Emergency,3/10/20,
WA,Reopened ACA Enrollment Using a Special Enrollment Period,3/10/20,
CT,State of Emergency,3/10/20,
NC,State of Emergency,3/10/20,
LA,State of Emergency,3/11/20,
AK,State of Emergency,3/11/20,
NM,State of Emergency,3/11/20,
DC,Order Freezing Utility Shut Offs,3/11/20,
OH,Nursing Homes,3/11/20,
MA,Allow Expand Medicaid Telehealth Coverage,3/12/20,
TN,State of Emergency,3/12/20,
MT,State of Emergency,3/12/20,
MD,Allow Expand Medicaid Telehealth Coverage,3/12/20,
NV,State of Emergency,3/12/20,
CO,Nursing Homes,3/12/20,
IA,Allow Expand Medicaid Telehealth Coverage,3/13/20,
SD,State of Emergency,3/13/20,
DE,State of Emergency,3/13/20,
TN,Allow Expand Medicaid Telehealth Coverage,3/13/20,
AL,State of Emergency,3/13/20,
VT,Nursing Homes,3/13/20,
RI,Nursing Homes,3/13/20,
PA,Order Freezing Utility Shut Offs,3/13/20,
ID,State of Emergency,3/13/20,
NY,Nursing Homes,3/13/20,
MO,State of Emergency,3/13/20,
WY,State of Emergency,3/13/20,
NE,State of Emergency,3/13/20,
LA,Allow Expand Medicaid Telehealth Coverage,3/13/20,
SC,State of Emergency,3/13/20,
WI,Order Freezing Utility Shut Offs,3/13/20,
NY,Order Freezing Utility Shut Offs,3/13/20,
AR,Nursing Homes,3/13/20,
MS,State of Emergency,3/14/20,
MI,Nursing Homes,3/14/20,
GA,State of Emergency,3/14/20,
RI,Reopened ACA Enrollment Using a Special Enrollment Period,3/14/20,
FL,Nursing Homes,3/15/20,
OK,State of Emergency,3/15/20,
SC,Allow Expand Medicaid Telehealth Coverage,3/15/20,
WV,Allow Audio Only Telehealth,3/16/20,
WV,State of Emergency,3/16/20,
ID,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/16/20,
ME,Order Freezing Utility Shut Offs,3/16/20,
OR,Nursing Homes,3/16/20,
MD,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/16/20,
PR,Non-Essential Businesses,3/16/20,6/15/20
AL,Allow Expand Medicaid Telehealth Coverage,3/16/20,
PR,Food and Drink,3/16/20,6/15/20
NY,Reopened ACA Enrollment Using a Special Enrollment Period,3/16/20,
MA,Allow Audio Only Telehealth,3/16/20,
KS,Order Freezing Utility Shut Offs,3/16/20,
OK,Allow Expand Medicaid Telehealth Coverage,3/16/20,
PR,Outdoor and Recreation,3/16/20,6/15/20
CT,Gyms,3/16/20,
WA,Nursing Homes,3/16/20,
VA,Order Freezing Utility Shut Offs,3/16/20,
NH,Nursing Homes,3/16/20,
NJ,Gyms,3/16/20,
MS,Allow Audio Only Telehealth,3/16/20,
PR,Shelter in Place,3/16/20,6/15/20
FL,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/16/20,
RI,Day Care,3/16/20,
RI,Order Freezing Utility Shut Offs,3/16/20,
NH,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
AK,Allow Audio Only Telehealth,3/17/20,
DE,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NH,Order Freezing Utility Shut Offs,3/17/20,
PA,Nursing Homes,3/17/20,
LA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
LA,Gyms,3/17/20,
NV,Allow Audio Only Telehealth,3/17/20,
HI,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
WV,Allow Expand Medicaid Telehealth Coverage,3/17/20,
FL,Childcare (K-12),3/17/20,
SC,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NE,Allow Expand Medicaid Telehealth Coverage,3/17/20,
DC,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NV,Allow Expand Medicaid Telehealth Coverage,3/17/20,
ID,Allow Expand Medicaid Telehealth Coverage,3/17/20,
HI,Nursing Homes,3/17/20,
PA,Day Care,3/17/20,
VT,Order Freezing Utility Shut Offs,3/18/20,
GA,Allow Audio Only Telehealth,3/18/20,
OH,Suspended Elective Medical Dental Procedures,3/18/20,
KY,Allow Audio Only Telehealth,3/18/20,
VI,Childcare (K-12),3/18/20,4/14/20
